item,task,modello,origine,testo,naturalezza,grammatica,lessico,media
V001,T3,Minerva7B,KPN003_T3_1350,"e avarà ditto ""ok""",4.00,3.50,3.00,3.50
V002,T2,Llama7B,KPN003_T2_747_c8,'e fettuole 'e pummarola,3.50,4.00,2.00,3.17
V003,T3,Llama7B,KPN001_T3_1046,"ll'ati dduje nun ll'hê tuccate, so' separate adeguatamente",4.50,4.50,1.50,3.50
V004,T2,Riferimento umano,KPN003_T2_498_c7,"vote ""ma nun ce stanno parcheggi""",5.00,4.00,5.00,4.67
V005,T2,Riferimento umano,KPN003_T2_489_c8,"esceno 'a scola, ce stanno tutte 'e genitore",5.00,5.00,5.00,5.00
V006,T2,Riferimento umano,KPN003_T2_497_c3,che po' strategia,4.00,4.00,4.00,4.00
V007,T3,Gemma4B,KPN003_T3_1346,'e foto nun 'e avevamo visto,3.00,3.00,4.00,3.33
V008,T3,Riferimento umano,KPN003_T3_1296,tanto 'o f~ ce ll'hanno,3.00,3.00,3.00,3.00
V009,T3,Gemma4B,KPN001_T3_970,"ma aggio fatto 'e cose 'e 'a curona, cioè 'e cibbo indiano, cioè 'e cose 'e 'a curona",2.00,2.00,1.50,1.83
V010,T2,Minerva7B,KPN003_T2_739_c6,cchiù niente,4.50,5.00,5.00,4.83
V011,T3,Llama7B,KPN003_T3_1435,"llà puó stoppà in realtà, ma 'o saccio, 'o saccio, 'o saccio",2.00,3.00,1.00,2.00
V012,T3,Llama7B,KPN003_T3_1411,"sì, sì, 'e fà fà pure a ll'invitate, ma 'e fà pure a ll'amma 'nz",2.50,2.00,2.00,2.17
V013,T2,Minerva7B,KPN003_T2_986_c3,aggio fatto nu,2.50,2.00,2.00,2.17
V014,T3,Minerva7B,KPN003_T3_1420,grazie assaje a ll'attacco,2.00,2.50,1.50,2.00
V015,T3,Gemma4B,KPN003_T3_1414,"'e cose 'e casa, 'e cose 'e casa, 'e cose 'e casa, 'e cose 'e casa, 'e cose '",1.00,2.00,1.00,1.33
V016,T2,Gemma4B,KPN001_T2_993_c4,na versione diversa,3.50,5.00,4.00,4.17
V017,T2,Riferimento umano,KPN003_T2_239_c3,vota ll'avimmo viste,4.50,4.50,4.50,4.50
V018,T3,Riferimento umano,KPN001_T3_963,"eh, che faje c' 'o tuvagliulo mio",4.50,4.50,5.00,4.67
V019,T3,Minerva7B,KPN003_T3_1438,"ah, ll'unnice",4.50,5.00,4.00,4.50
V020,T3,Riferimento umano,KPN003_T3_1451,"no no, grazie",5.00,5.00,5.00,5.00
V021,T2,Llama7B,KPN003_T2_246_c4,"mh, mh",3.00,3.00,2.00,2.67
V022,T2,Minerva7B,KPN003_T2_988_c3,"diceno ""ah, nun",3.00,2.50,3.00,2.83
V023,T3,Riferimento umano,KPN003_T3_1459,"okay, i' te piglio n'ata birra",5.00,5.00,5.00,5.00
V024,T2,Llama7B,KPN003_T2_739_c6,"va nuje cosa, cioé",2.00,1.50,1.50,1.67
V025,T3,Gemma4B,KPN003_T3_1305,"ma 'o album è 'e ffoto, cioè 'e foto, cioè 'e foto, cioè 'e foto, cioè 'e foto, cioè '",1.00,1.00,1.00,1.00
V026,T3,Minerva7B,KPN001_T3_1046,"pucci, no, chisto è nu modo 'e di~, cioè 'o stesse, no",4.00,3.50,4.00,3.83
V027,T3,Gemma4B,KPN001_T3_956,"no, io, io mangio italiano, sì",2.00,2.00,2.50,2.17
V028,T3,Llama7B,KPN003_T3_1392,"'a come me ricordo, pecché i' me so' perza todo",3.00,3.00,2.00,2.67
V029,T3,Llama7B,KPN003_T3_1346,"sì, sì, si vulite ve 'e faccio 'n hd, ma ll'aggi'a sistemà tutte, quin",3.50,3.50,2.00,3.00
V030,T2,Gemma4B,KPN001_T2_1000_c3,nu sacco 'e,3.00,4.00,3.00,3.33
V031,T3,Llama7B,KPN003_T3_1438,"ll'unnice, embè, songo ll'unnice",4.00,4.00,3.00,3.67
