item,task,modello,condizione,origine,contesto,istruzione,inizio_turno,testo
V030,T2,Gemma4B,sistema,KPN001_T2_1000_c3,"A: e vabbuò
B: mo vaco 'n giro c' 'a buttiglia 'e vino accussì
A: che terribbele ca si'","Completa il turno gia' iniziato, in napoletano.","baby, ce stanno",nu sacco 'e
V064,T2,Llama7B,sistema,KPN001_T2_1000_c3,"A: e vabbuò
B: mo vaco 'n giro c' 'a buttiglia 'e vino accussì
A: che terribbele ca si'","Completa il turno gia' iniziato, in napoletano.","baby, ce stanno",nu casino a
V093,T2,Minerva7B,sistema,KPN001_T2_1000_c3,"A: e vabbuò
B: mo vaco 'n giro c' 'a buttiglia 'e vino accussì
A: che terribbele ca si'","Completa il turno gia' iniziato, in napoletano.","baby, ce stanno",'n sacco 'e
V143,T2,Gemma4B,sistema,KPN001_T2_237_c2,"A: mhmh
B: se mèttono a mangià 'a ehm cucine siciliane tipo
A: ah okay, quinni dice comunque nun è ca dice ""saje, magari me faccio ll'esperienza a mangià int'a nu posto diverso ca fa nu menù""","Completa il turno gia' iniziato, in napoletano.",addò fanno,'e cchiù
V145,T2,Llama7B,sistema,KPN001_T2_237_c2,"A: mhmh
B: se mèttono a mangià 'a ehm cucine siciliane tipo
A: ah okay, quinni dice comunque nun è ca dice ""saje, magari me faccio ll'esperienza a mangià int'a nu posto diverso ca fa nu menù""","Completa il turno gia' iniziato, in napoletano.",addò fanno,nu menù
V069,T2,Minerva7B,sistema,KPN001_T2_237_c2,"A: mhmh
B: se mèttono a mangià 'a ehm cucine siciliane tipo
A: ah okay, quinni dice comunque nun è ca dice ""saje, magari me faccio ll'esperienza a mangià int'a nu posto diverso ca fa nu menù""","Completa il turno gia' iniziato, in napoletano.",addò fanno,'a pasta
V110,T2,Gemma4B,sistema,KPN001_T2_245_c6,"A: quacche tiempo fa
A: ca se parlava 'e mh, so' partute 'e vacanze eh
A: spennere pe' mangià, 'nsomma eh","Completa il turno gia' iniziato, in napoletano.",e stevamo dicenno appunto ca â,fine 'e vacanz' 'a ll'abbim
V132,T2,Llama7B,sistema,KPN001_T2_245_c6,"A: quacche tiempo fa
A: ca se parlava 'e mh, so' partute 'e vacanze eh
A: spennere pe' mangià, 'nsomma eh","Completa il turno gia' iniziato, in napoletano.",e stevamo dicenno appunto ca â,"vabbuò, cioè"
V057,T2,Minerva7B,sistema,KPN001_T2_245_c6,"A: quacche tiempo fa
A: ca se parlava 'e mh, so' partute 'e vacanze eh
A: spennere pe' mangià, 'nsomma eh","Completa il turno gia' iniziato, in napoletano.",e stevamo dicenno appunto ca â,fine d' 'o sabbato
V041,T2,Riferimento umano,umano,KPN001_T2_250_c8,"B: mhmh
A: e 'e patatine
A: oppure magari ce stanno 'e vvote ca spenno nu poco 'e cchiù però magari me vaco a mangià na cosa bbona, diversa, o comunque me vaco a fà 'a cena 'e pesce particulare, o che ne saccio","Completa il turno gia' iniziato, in napoletano.","spenno 'e cchiù, o pe' dicere, stevamo parlanno","pure d' 'e chef stellate, magari dice"
V125,T2,Riferimento umano,umano,KPN001_T2_481_c6,"B: vide chisto
A: no, assaggio primma chisto
B: mhmh","Completa il turno gia' iniziato, in napoletano.","però c' 'o riso, si no",nun riesce a 'o piglià
