item,task,modello,contesto,istruzione,inizio_turno,testo_valutato,naturalezza,grammatica,lessico,note
V071,T2,Minerva7B,"C: e lloro che faccia hanno fatto?
B: pecché era chillo ca ce steva pure quanno stévamo cu marco e tommaso, era 'o stesso cammariere
C: sì sì","Completa il turno gia' iniziato, in napoletano.",'nfatti pure i',nun m' 'o,3,3,3,
V005,T2,Riferimento umano,"A: sì
A: eh
B: cioè nun esiste, ma pure si vaje llà n'ora primma nun 'o truove","Completa il turno gia' iniziato, in napoletano.",po' soprattutto si è ll'orario addò 'e criature,"esceno 'a scola, ce stanno tutte 'e genitore",5,5,5,
V081,T3,Llama7B,"A: basta selez~
A: sì sì, basta selezionà 'e ffoto
A: ca tiene ll'album",Continua la conversazione: scrivi il turno di C in napoletano.,,ca 'o album è 'e più 'e 'e 'e,1,1,1,"Turno troncato, vuoto o fortemente incoerente."
V094,T3,Gemma4B,"A: sì, esatto
C: cu 'e cartellin' 'a aprì
B: sì
C: e po' ce steva 'e cchiù sta rota ca girava cu 'e tre giuoche, esatto
A: ca era na cosa, sì
C: ca po' llà 'e giuoche erano","Adesso parla A. Che dice, in napoletano?",,"ca erano 'e giuoche 'e 'e tre giuoche, llà 'e tre giuoche",2,2,2,Forma dialettale comprensibile ma con resa poco naturale o lessico poco adatto al contesto.
V056,T3,Gemma4B,"A: 'o twister, allora erano quatto, forse
C: chello ca ha fatto cu 'a sara
A: obbligo o verità ce steva
C: secondo me obbligo o verità steva int' 'e casellelle
C: 'a comme me ricordo
B: pecché i' me so' perza tutto",Sei C. Rispondi in napoletano a quello che ha appena detto B. (l'ultimo turno e' una domanda: rispondi alla domanda),,"'a verità era 'a casellelle, sì, ma 'o twister era 'a verità, cioè 'a verità era 'a casellelle",2,2,2,Forma dialettale comprensibile ma con resa poco naturale o lessico poco adatto al contesto.
V097,T3,Riferimento umano,"B: ce facimmo nuje n'album d' 'e figurine addò 'e figurine so' stickers c' 'a faccia soja
C: È overo, è overo
A: e comme faje?
B: nun 'o saccio, cioè facimmo nu poco
C: po' ll'adda attaccà tutte
A: facimmo adesive, facimmo stampà adesive","Turno di C. Rispondi in napoletano, breve e pertinente.",,"embè, putimmo pure piglià",5,5,4,
V068,T3,Llama7B,"C: è ca nun tenimmo tante ffoto 'e ale nove
C: e chille stickers nun saccio si veneno
A: ll'ha fatte essa cu 'e ffoto soje
A: 'o sape, 'e manna essa
C: eh, però nun saccio si veneno gruosse, cioè
C: nun 'e putimmo stampà","Riprendi il discorso di C: parla B, in napoletano.",,"'e putimmo stampà, ma nun 'e putimmo stampà gruosse, cioè",4,4,4,
V144,T3,Llama7B,"D: bbuono, grazie assaje a vuje
C: grazie
A: ce sta pure c' 'e balle fà quaccosa
A: ca dopo c' 'o vestito suojo se carreca
A: eh
C: n'ata birra","Turno di A. Rispondi in napoletano, breve e pertinente.",,"ca 'o vestito suojo se carreca, ma 'o c' 'e balle fà quaccosa",2,2,2,Forma dialettale comprensibile ma con resa poco naturale o lessico poco adatto al contesto.
V036,T3,Minerva7B,"C: ha ditto ""sì sì, si vulite ve 'e faccio 'n hd""
C: però ll'aggi'a sistemà tutte
C: quinni ce vularrà nu poco
B: e vuje ce avite ditto ""ma scusate, avite visto 'e ffoto""
A: sì, avimmo ditto ""ma no""
B: ah, ok ok","Adesso parla C. Che dice, in napoletano? (l'ultimo turno e' solo un cenno di ascolto: il tema vero e' nel turno precedente)",,"e avimmo ditto ""ma scusate, avite visto 'e ffoto""",4,4,4,
V107,T2,Riferimento umano,"A: si, si 'e ffemmene accucchiassero ll'uommene comme ll'uommene accùcchiano 'e ffemmene
C: mh
B: sì, i' sarrìa accussì, i' sarrìa accussì, 'nfatti","Completa il turno gia' iniziato, in napoletano.","no, però ce aggio",nu poco penzato,5,5,5,
